@relation Animals

@attribute hasName {NoName,Name}
@attribute animalType {Cat,Dog}
@attribute intactness {NotIntact,Intact,Unknown}
@attribute sex {Female,Male,Unknown}
@attribute age {Baby,Adult,Senior,Unknown}
@attribute breed {Abyssinian,Affenpinscher,'Afghan Hound','Airedale Terrier',Akita,'Alaskan Husky','Alaskan Malamute','American Bulldog','American Eskimo','American Foxhound','American Pit Bull Terrier','American Shorthair','American Staffordshire Terrier','Anatol Shepherd',Angora,'Australian Cattle Dog','Australian Kelpie','Australian Shepherd','Australian Terrier',Balinese,Basenji,'Basset Hound',Beagle,'Bearded Collie',Beauceron,'Bedlington Terr','Belgian Malinois','Belgian Sheepdog','Belgian Tervuren',Bengal,'Bernese Mountain Dog','Bichon Frise',Black,'Black Mouth Cur',Bloodhound,'Blue Lacy','Bluetick Hound',Boerboel,Bombay,'Border Collie','Border Terrier','Boston Terrier',Boxer,'Boykin Span','British Shorthair',Brittany,'Bruss Griffon','Bull Terrier','Bull Terrier Miniature',Bulldog,Bullmastiff,Burmese,'Cairn Terrier','Canaan Dog','Cane Corso','Cardigan Welsh Corgi','Carolina Dog',Catahoula,'Cavalier Span','Chesa Bay Retr','Chihuahua Longhair','Chihuahua Shorthair','Chinese Crested','Chinese Sharpei','Chow Chow','Cocker Spaniel','Collie Rough','Collie Smooth','Cornish Rex',Cymric,Dachshund,'Dachshund Longhair','Dachshund Wirehair',Dalmatian,'Devon Rex','Doberman Pinsch','Dogo Argentino','Dogue De Bordeaux','Domestic Longhair','Domestic Medium Hair','Domestic Shorthair','Dutch Shepherd','English Bulldog','English Cocker Spaniel','English Coonhound','English Foxhound','English Pointer','English Setter','English Shepherd','English Springer Spaniel',Entlebucher,'Exotic Shorthair',Feist,'Field Spaniel','Finnish Spitz','Flat Coat Retriever','French Bulldog','German Pinscher','German Shepherd','German Shorthair Pointer','German Wirehaired Pointer','Glen Of Imaal','Golden Retriever','Great Dane','Great Pyrenees','Greater Swiss Mountain Dog',Greyhound,Harrier,'Havana Brown',Havanese,Himalayan,Hovawart,'Ibizan Hound','Irish Setter','Irish Terrier','Irish Wolfhound','Italian Greyhound','Jack Russell Terrier','Japanese Bobtail','Japanese Chin',Javanese,Jindo,Keeshond,Kuvasz,'Labrador Retriever',Landseer,Leonberger,'Lhasa Apso',Lowchen,'Maine Coon',Maltese,'Manchester Terrier',Manx,Mastiff,'Mexican Hairless','Miniature Pinscher','Miniature Poodle','Miniature Schnauzer','Munchkin Longhair','Neapolitan Mastiff',Newfoundland,'Norfolk Terrier','Norwegian Elkhound','Norwegian Forest Cat','Norwich Terrier','Nova Scotia Duck Tolling Retriever',Ocicat,'Old English Bulldog','Old English Sheepdog',Otterhound,Papillon,'Parson Russell Terrier','Patterdale Terr',Pbgv,Pekingese,'Pembroke Welsh Corgi',Persian,'Pharaoh Hound','Picardy Sheepdog','Pit Bull','Pixiebob Shorthair','Plott Hound','Podengo Pequeno',Pointer,Pomeranian,'Port Water Dog','Presa Canario',Pug,'Queensland Heeler',Ragdoll,'Rat Terrier','Redbone Hound','Rhod Ridgeback',Rottweiler,'Russian Blue',Saluki,Samoyed,Schipperke,'Schnauzer Giant','Scottish Terrier','Sealyham Terr','Shetland Sheepdog','Shiba Inu','Shih Tzu',Siamese,'Siberian Husky','Silky Terrier','Skye Terrier','Smooth Fox Terrier',Snowshoe,'Soft Coated Wheaten Terrier','Spanish Mastiff',Sphynx,'Spinone Italiano','St. Bernard Rough Coat','St. Bernard Smooth Coat',Staffordshire,'Standard Poodle','Standard Schnauzer','Swedish Vallhund','Swiss Hound','Tibetan Spaniel','Tibetan Terrier',Tonkinese,'Toy Fox Terrier','Toy Poodle','Treeing Cur','Treeing Tennesse Brindle','Treeing Walker Coonhound','Turkish Van',Unknown,Vizsla,Weimaraner,'Welsh Springer Spaniel','Welsh Terrier','West Highland',Whippet,'Wire Hair Fox Terrier','Wirehaired Pointing Griffon','Yorkshire Terrier'}
@attribute color {Agouti,Apricot,Black,'Black Brindle','Black Smoke','Black Tabby','Black Tiger',Blue,'Blue Cream','Blue Merle','Blue Point','Blue Smoke','Blue Tabby','Blue Tick','Blue Tiger',Brown,'Brown Brindle','Brown Merle','Brown Tabby','Brown Tiger',Buff,Calico,'Calico Point',Chocolate,'Chocolate Point',Cream,'Cream Tabby',Fawn,'Flame Point',Gold,Gray,'Gray Tabby','Lilac Point',Liver,'Liver Tick','Lynx Point',Orange,'Orange Tabby','Orange Tiger',Pink,Red,'Red Merle','Red Tick',Ruddy,Sable,'Seal Point',Silver,'Silver Lynx Point','Silver Tabby',Tan,Torbie,Tortie,'Tortie Point',Tricolor,White,Yellow,'Yellow Brindle'}
@attribute ageInDays numeric
@attribute hour numeric
@attribute outcome {Adoption,Return_to_owner,Transfer,Euthanasia,Died}

@data
Name,Dog,NotIntact,Male,Adult,'Shetland Sheepdog',Brown,365,18,Return_to_owner
Name,Cat,NotIntact,Female,Adult,'Domestic Shorthair','Cream Tabby',365,12,Euthanasia
Name,Dog,NotIntact,Male,Adult,'Pit Bull',Blue,730,12,Adoption
NoName,Cat,Intact,Male,Baby,'Domestic Shorthair','Blue Cream',21,19,Transfer
NoName,Dog,NotIntact,Male,Adult,'Lhasa Apso',Tan,730,12,Transfer
Name,Dog,Intact,Female,Baby,'Cairn Terrier',Black,31,13,Transfer
Name,Cat,Intact,Male,Baby,'Domestic Shorthair','Blue Tabby',21,13,Transfer
NoName,Cat,Unknown,Unknown,Baby,'Domestic Shorthair','Brown Tabby',21,17,Transfer
Name,Dog,NotIntact,Female,Baby,'American Pit Bull Terrier',Red,155,17,Adoption
NoName,Dog,NotIntact,Female,Adult,'Cairn Terrier',White,365,7,Adoption
NoName,Cat,Unknown,Unknown,Adult,'Domestic Shorthair',Black,730,15,Transfer
NoName,Dog,NotIntact,Female,Adult,'Miniature Schnauzer',Silver,730,14,Adoption
Name,Dog,NotIntact,Male,Adult,'Pit Bull',Brown,1460,11,Adoption
Name,Dog,NotIntact,Male,Adult,'Yorkshire Terrier',Black,730,16,Return_to_owner
Name,Dog,NotIntact,Male,Adult,'Great Pyrenees',White,365,15,Return_to_owner
Name,Cat,NotIntact,Male,Baby,'Domestic Shorthair','Orange Tabby',93,12,Adoption
NoName,Cat,Intact,Male,Baby,'Domestic Shorthair','Brown Tabby',21,16,Transfer
NoName,Dog,Intact,Female,Baby,'Pit Bull',Brown,14,12,Transfer
Name,Cat,Intact,Female,Adult,Angora,White,730,11,Transfer
Name,Dog,NotIntact,Male,Adult,'Flat Coat Retriever',Black,365,17,Return_to_owner
Name,Dog,Intact,Male,Baby,'Queensland Heeler',Black,62,15,Transfer
Name,Cat,NotIntact,Female,Adult,'Domestic Shorthair',White,365,15,Transfer
Name,Dog,NotIntact,Female,Adult,'Plott Hound','Brown Brindle',730,14,Adoption
Name,Dog,NotIntact,Male,Baby,'German Shepherd',Brown,310,16,Adoption
Name,Dog,NotIntact,Male,Baby,'German Shepherd',Black,62,17,Return_to_owner
Name,Cat,Intact,Female,Baby,'Domestic Shorthair','Orange Tabby',31,15,Transfer
Name,Dog,NotIntact,Female,Baby,'American Staffordshire Terrier',Chocolate,186,17,Adoption
Name,Dog,NotIntact,Female,Adult,'Chihuahua Shorthair',White,1825,18,Adoption
Name,Cat,NotIntact,Female,Baby,'Domestic Shorthair','Cream Tabby',62,13,Adoption
Name,Cat,NotIntact,Male,Adult,'Russian Blue',Blue,2555,14,Return_to_owner
NoName,Cat,NotIntact,Female,Adult,'Domestic Shorthair',Calico,1095,13,Euthanasia
Name,Dog,Intact,Male,Baby,'Labrador Retriever',Black,124,15,Transfer
NoName,Cat,NotIntact,Female,Baby,'Domestic Shorthair',Torbie,62,17,Adoption
Name,Dog,NotIntact,Male,Adult,'Collie Smooth',Brown,1825,13,Return_to_owner
Name,Dog,NotIntact,Male,Adult,'Chihuahua Shorthair',Brown,1095,16,Transfer
NoName,Dog,Intact,Male,Adult,'Labrador Retriever',Yellow,1095,14,Euthanasia
Name,Dog,NotIntact,Male,Adult,'Pit Bull',Brown,1095,11,Return_to_owner
NoName,Cat,Intact,Male,Baby,'Domestic Shorthair',Blue,62,13,Transfer
Name,Cat,NotIntact,Male,Baby,'Domestic Shorthair',Black,124,0,Transfer
NoName,Cat,Intact,Male,Baby,'Domestic Shorthair','Brown Tabby',21,12,Transfer
Name,Cat,NotIntact,Female,Adult,'Domestic Shorthair','Blue Tabby',2555,17,Adoption
NoName,Cat,Intact,Male,Baby,'Domestic Shorthair','Orange Tabby',62,13,Transfer
Name,Cat,Intact,Female,Baby,'Domestic Shorthair','Brown Tabby',62,15,Transfer
NoName,Cat,Intact,Male,Adult,'Domestic Longhair',Black,1460,15,Transfer
Name,Cat,NotIntact,Male,Adult,'Domestic Shorthair',Black,730,15,Adoption
Name,Dog,NotIntact,Male,Senior,Beagle,Tricolor,4380,7,Return_to_owner
Name,Cat,NotIntact,Female,Senior,'Domestic Shorthair',White,3285,11,Return_to_owner
NoName,Cat,Intact,Female,Baby,'Domestic Shorthair',Black,21,11,Transfer
Name,Dog,NotIntact,Female,Baby,'German Shepherd',Black,155,17,Adoption
NoName,Dog,Intact,Male,Senior,'Pit Bull',Chocolate,2190,15,Euthanasia
NoName,Cat,Intact,Female,Adult,'Domestic Shorthair',Tortie,365,9,Transfer
Name,Cat,NotIntact,Female,Baby,'Domestic Shorthair','Brown Tabby',93,18,Adoption
NoName,Cat,Intact,Female,Baby,'Domestic Shorthair','Blue Tabby',21,17,Transfer
Name,Dog,NotIntact,Male,Adult,'Blue Lacy',Gray,730,12,Adoption
Name,Cat,NotIntact,Female,Baby,'Domestic Shorthair','Orange Tabby',62,16,Adoption
NoName,Cat,Intact,Male,Baby,'Domestic Shorthair',Black,7,15,Transfer
Name,Cat,NotIntact,Female,Baby,'Domestic Shorthair',Calico,62,13,Adoption
NoName,Dog,Intact,Male,Adult,'Chihuahua Shorthair',Tan,365,16,Transfer
Name,Dog,NotIntact,Female,Adult,'Black Mouth Cur',Tan,1460,14,Return_to_owner
Name,Dog,NotIntact,Male,Adult,Dachshund,Brown,730,12,Adoption
Name,Cat,Intact,Male,Adult,'Domestic Shorthair','Orange Tabby',365,13,Transfer
Name,Dog,NotIntact,Female,Senior,'Yorkshire Terrier',Brown,4015,18,Euthanasia
Name,Cat,Intact,Female,Baby,'Domestic Shorthair',Black,31,15,Transfer
Name,Dog,NotIntact,Female,Adult,Dachshund,Tan,730,11,Adoption
NoName,Cat,Unknown,Unknown,Baby,'Domestic Shorthair',Black,14,17,Transfer
Name,Dog,NotIntact,Female,Senior,Maltese,White,2190,18,Return_to_owner
Name,Dog,NotIntact,Male,Baby,Pointer,Black,186,15,Transfer
Name,Dog,Intact,Female,Baby,'English Foxhound',Buff,62,15,Transfer
NoName,Cat,Unknown,Unknown,Baby,'Domestic Shorthair','Brown Tabby',62,9,Transfer
Name,Dog,NotIntact,Female,Adult,'Chihuahua Shorthair',Red,365,18,Adoption
Name,Dog,NotIntact,Male,Baby,Vizsla,Brown,62,17,Adoption
Name,Dog,NotIntact,Male,Adult,'Pit Bull','Brown Brindle',730,14,Transfer
NoName,Dog,NotIntact,Female,Adult,'German Shepherd',White,1095,18,Adoption
Name,Cat,Intact,Female,Adult,'Domestic Shorthair',Black,365,11,Return_to_owner
Name,Dog,NotIntact,Female,Adult,'Yorkshire Terrier',Blue,1460,16,Return_to_owner
Name,Dog,NotIntact,Female,Adult,'Cardigan Welsh Corgi',Tan,730,14,Transfer
