@relation Animals

@attribute hasName {NoName,Name}
@attribute animalType {Cat,Dog}
@attribute intactness {NotIntact,Intact,Unknown}
@attribute age {Baby,Adult,Senior,Unknown}
@attribute breed {Abyssinian,Affenpinscher,'Afghan Hound','Airedale Terrier',Akita,'Alaskan Husky','Alaskan Malamute','American Bulldog','American Eskimo','American Foxhound','American Pit Bull Terrier','American Shorthair','American Staffordshire Terrier','Anatol Shepherd',Angora,'Australian Cattle Dog','Australian Kelpie','Australian Shepherd','Australian Terrier',Balinese,Basenji,'Basset Hound',Beagle,'Bearded Collie',Beauceron,'Bedlington Terr','Belgian Malinois','Belgian Sheepdog','Belgian Tervuren',Bengal,'Bernese Mountain Dog','Bichon Frise',Black,'Black Mouth Cur',Bloodhound,'Blue Lacy','Bluetick Hound',Boerboel,Bombay,'Border Collie','Border Terrier','Boston Terrier',Boxer,'Boykin Span','British Shorthair',Brittany,'Bruss Griffon','Bull Terrier','Bull Terrier Miniature',Bulldog,Bullmastiff,Burmese,'Cairn Terrier','Canaan Dog','Cane Corso','Cardigan Welsh Corgi','Carolina Dog',Catahoula,'Cavalier Span','Chesa Bay Retr','Chihuahua Longhair','Chihuahua Shorthair','Chinese Crested','Chinese Sharpei','Chow Chow','Cocker Spaniel','Collie Rough','Collie Smooth','Cornish Rex',Cymric,Dachshund,'Dachshund Longhair','Dachshund Wirehair',Dalmatian,'Devon Rex','Doberman Pinsch','Dogo Argentino','Dogue De Bordeaux','Domestic Longhair','Domestic Medium Hair','Domestic Shorthair','Dutch Shepherd','English Bulldog','English Cocker Spaniel','English Coonhound','English Foxhound','English Pointer','English Setter','English Shepherd','English Springer Spaniel',Entlebucher,'Exotic Shorthair',Feist,'Field Spaniel','Finnish Spitz','Flat Coat Retriever','French Bulldog','German Pinscher','German Shepherd','German Shorthair Pointer','German Wirehaired Pointer','Glen Of Imaal','Golden Retriever','Great Dane','Great Pyrenees','Greater Swiss Mountain Dog',Greyhound,Harrier,'Havana Brown',Havanese,Himalayan,Hovawart,'Ibizan Hound','Irish Setter','Irish Terrier','Irish Wolfhound','Italian Greyhound','Jack Russell Terrier','Japanese Bobtail','Japanese Chin',Javanese,Jindo,Keeshond,Kuvasz,'Labrador Retriever',Landseer,Leonberger,'Lhasa Apso',Lowchen,'Maine Coon',Maltese,'Manchester Terrier',Manx,Mastiff,'Mexican Hairless','Miniature Pinscher','Miniature Poodle','Miniature Schnauzer','Munchkin Longhair','Neapolitan Mastiff',Newfoundland,'Norfolk Terrier','Norwegian Elkhound','Norwegian Forest Cat','Norwich Terrier','Nova Scotia Duck Tolling Retriever',Ocicat,'Old English Bulldog','Old English Sheepdog',Otterhound,Papillon,'Parson Russell Terrier','Patterdale Terr',Pbgv,Pekingese,'Pembroke Welsh Corgi',Persian,'Pharaoh Hound','Picardy Sheepdog','Pit Bull','Pixiebob Shorthair','Plott Hound','Podengo Pequeno',Pointer,Pomeranian,'Port Water Dog','Presa Canario',Pug,'Queensland Heeler',Ragdoll,'Rat Terrier','Redbone Hound','Rhod Ridgeback',Rottweiler,'Russian Blue',Saluki,Samoyed,Schipperke,'Schnauzer Giant','Scottish Terrier','Sealyham Terr','Shetland Sheepdog','Shiba Inu','Shih Tzu',Siamese,'Siberian Husky','Silky Terrier','Skye Terrier','Smooth Fox Terrier',Snowshoe,'Soft Coated Wheaten Terrier','Spanish Mastiff',Sphynx,'Spinone Italiano','St. Bernard Rough Coat','St. Bernard Smooth Coat',Staffordshire,'Standard Poodle','Standard Schnauzer','Swedish Vallhund','Swiss Hound','Tibetan Spaniel','Tibetan Terrier',Tonkinese,'Toy Fox Terrier','Toy Poodle','Treeing Cur','Treeing Tennesse Brindle','Treeing Walker Coonhound','Turkish Van',Unknown,Vizsla,Weimaraner,'Welsh Springer Spaniel','Welsh Terrier','West Highland',Whippet,'Wire Hair Fox Terrier','Wirehaired Pointing Griffon','Yorkshire Terrier'}
@attribute ageInDays numeric
@attribute hour numeric
@attribute outcome {Adoption,Return_to_owner,Transfer,Euthanasia,Died}

@data
Name,Dog,Intact,Baby,'Labrador Retriever',310,12,Transfer
Name,Dog,NotIntact,Adult,'German Shepherd',730,17,Adoption
Name,Cat,NotIntact,Adult,'Domestic Shorthair',365,12,Transfer
Name,Dog,Intact,Baby,'Collie Smooth',124,18,Transfer
Name,Dog,NotIntact,Adult,'Miniature Poodle',730,17,Adoption
Name,Dog,NotIntact,Adult,Beagle,1095,11,Return_to_owner
Name,Cat,NotIntact,Senior,'Domestic Medium Hair',4745,9,Return_to_owner
Name,Cat,NotIntact,Baby,'Domestic Shorthair',186,8,Adoption
Name,Dog,NotIntact,Baby,'Cairn Terrier',93,18,Adoption
Name,Dog,NotIntact,Adult,'Pit Bull',365,17,Adoption
Name,Dog,NotIntact,Baby,'Labrador Retriever',155,17,Adoption
Name,Dog,Intact,Adult,'Pit Bull',730,15,Return_to_owner
Name,Dog,NotIntact,Baby,'Pit Bull',186,15,Adoption
NoName,Dog,NotIntact,Adult,'Miniature Poodle',730,18,Adoption
Name,Dog,NotIntact,Adult,'Flat Coat Retriever',365,19,Adoption
Name,Dog,NotIntact,Baby,Pointer,124,18,Adoption
Name,Dog,NotIntact,Adult,'Doberman Pinsch',1825,17,Adoption
Name,Dog,NotIntact,Adult,'English Bulldog',1095,19,Adoption
Name,Cat,NotIntact,Adult,'Domestic Shorthair',1095,12,Transfer
NoName,Cat,Intact,Adult,'Domestic Shorthair',1460,19,Transfer
Name,Cat,NotIntact,Adult,'Domestic Shorthair',730,19,Adoption
NoName,Cat,Unknown,Baby,'Domestic Shorthair',21,13,Transfer
Name,Dog,NotIntact,Adult,'Norwich Terrier',365,14,Adoption
NoName,Cat,Intact,Baby,'Domestic Shorthair',7,15,Transfer
Name,Dog,NotIntact,Adult,'Black Mouth Cur',365,16,Adoption
NoName,Cat,NotIntact,Adult,'Domestic Shorthair',365,13,Transfer
Name,Cat,NotIntact,Baby,'Domestic Medium Hair',62,16,Adoption
NoName,Dog,Intact,Baby,'Norwich Terrier',62,8,Transfer
Name,Dog,NotIntact,Adult,'Labrador Retriever',1095,17,Adoption
Name,Dog,NotIntact,Adult,'Labrador Retriever',730,17,Adoption
NoName,Dog,NotIntact,Adult,Pomeranian,1460,15,Transfer
Name,Dog,NotIntact,Baby,'Chihuahua Shorthair',62,11,Adoption
NoName,Cat,NotIntact,Adult,'Domestic Medium Hair',730,15,Transfer
Name,Cat,NotIntact,Baby,'Domestic Shorthair',62,18,Adoption
Name,Cat,Intact,Baby,'Domestic Shorthair',62,12,Transfer
Name,Dog,NotIntact,Adult,'Australian Cattle Dog',365,12,Adoption
NoName,Cat,NotIntact,Adult,'Domestic Shorthair',1095,9,Transfer
Name,Dog,NotIntact,Baby,'Labrador Retriever',62,17,Adoption
Name,Dog,NotIntact,Adult,'Miniature Poodle',1460,15,Adoption
NoName,Dog,NotIntact,Adult,'Border Terrier',365,14,Adoption
Name,Dog,Intact,Baby,Beagle,279,16,Transfer
NoName,Cat,Intact,Baby,'Domestic Shorthair',4,13,Transfer
Name,Cat,NotIntact,Adult,'Domestic Shorthair',365,12,Transfer
NoName,Cat,Intact,Baby,'Domestic Medium Hair',14,11,Transfer
NoName,Cat,NotIntact,Adult,'Domestic Shorthair',730,12,Transfer
NoName,Dog,NotIntact,Adult,Whippet,730,14,Adoption
Name,Cat,NotIntact,Adult,'Domestic Shorthair',1095,12,Transfer
Name,Dog,NotIntact,Adult,'Pit Bull',730,15,Adoption
Name,Dog,NotIntact,Adult,'Japanese Chin',1460,13,Adoption
Name,Dog,Intact,Baby,'Labrador Retriever',217,15,Transfer
Name,Cat,Intact,Baby,'Domestic Longhair',93,13,Transfer
Name,Dog,NotIntact,Senior,Black,3285,11,Return_to_owner
Name,Cat,NotIntact,Baby,'Domestic Shorthair',62,16,Adoption
Name,Cat,Intact,Baby,'Domestic Shorthair',31,16,Transfer
NoName,Cat,Unknown,Adult,Siamese,1095,17,Euthanasia
Name,Cat,NotIntact,Senior,'Domestic Shorthair',3285,16,Adoption
Name,Dog,NotIntact,Adult,Catahoula,365,17,Adoption
NoName,Cat,Unknown,Baby,'Domestic Shorthair',7,12,Transfer
NoName,Cat,Intact,Adult,'Domestic Shorthair',730,9,Transfer
Name,Dog,NotIntact,Baby,'Plott Hound',62,13,Adoption
NoName,Dog,NotIntact,Adult,'Labrador Retriever',730,19,Adoption
Name,Dog,NotIntact,Adult,'Pit Bull',1460,11,Return_to_owner
Name,Cat,NotIntact,Adult,Bombay,365,11,Transfer
NoName,Cat,Intact,Baby,'Domestic Shorthair',21,12,Transfer
NoName,Cat,Intact,Baby,'Domestic Shorthair',93,9,Transfer
Name,Dog,NotIntact,Adult,'Chihuahua Shorthair',365,18,Adoption
Name,Cat,NotIntact,Baby,'Domestic Shorthair',93,18,Adoption
Name,Dog,Intact,Senior,'Chihuahua Shorthair',4380,12,Euthanasia
Name,Dog,NotIntact,Adult,Boxer,730,17,Adoption
NoName,Cat,Intact,Adult,'Domestic Shorthair',365,9,Transfer
NoName,Dog,Intact,Baby,'Anatol Shepherd',93,13,Transfer
Name,Dog,NotIntact,Baby,'Cardigan Welsh Corgi',62,17,Adoption
NoName,Cat,Unknown,Baby,'Domestic Shorthair',7,10,Transfer
Name,Dog,NotIntact,Adult,'Chihuahua Shorthair',730,12,Adoption
NoName,Cat,Intact,Baby,'Domestic Medium Hair',21,16,Transfer
Name,Cat,Intact,Baby,'Domestic Longhair',62,11,Transfer
